movieId,tmdbId,popularity,vote_count,vote_average,budget,revenue,runtime
93,12158,1.7468,622,5.073,14000000,19800000,102
94,9283,3.2468,392,6.636,16000000,27000000,112
95,9208,3.4661,1631,6.061,50000000,150300000,108
96,40154,0.6383,42,7.1,0,0,99
97,406,5.429,4442,8.083,2600000,15300000,98
99,63076,0.2863,14,6.6,0,0,106
100,11062,1.5123,309,5.9,40000000,33440204,111
101,13685,1.9471,1158,6.7,7000000,1040879,91
102,47475,0.6849,63,4.0,0,0,96
103,2045,1.1647,112,5.598,18000000,0,116
104,9614,5.9694,3245,6.67,12000000,41422354,92
105,688,3.6859,2323,7.703,24000000,182000000,135
106,11907,0.2442,35,6.157,0,0,104
107,10874,3.7487,450,6.7,31000000,34327766,99
108,89333,2.3109,8,7.5,0,0,95
110,197,9.6595,10895,7.941,72000000,213216216,178
111,103,13.2147,13220,8.128,1900000,28579636,114
112,33542,3.9452,1127,6.821,7500000,76028558,106
113,43566,2.0088,207,5.918,35000000,8797839,108
116,51352,0.4239,23,7.7,0,0,117
117,16934,0.552,53,6.594,0,0,99
118,10324,0.8697,59,5.3,5000000,2420162,92
119,78406,0.5097,22,4.3,25000000,6278139,113
121,32119,0.8913,42,7.2,0,204540,93
122,11066,2.6883,611,5.7,40000000,131052444,117
123,11104,5.8051,2123,8.0,160000,0,103
125,2074,0.9289,267,6.174,7000000,14702438,93
126,27793,1.7169,420,4.482,17000000,0,95
128,290157,0.0729,7,7.1,0,0,87
129,110972,0.4272,14,6.607,0,0,95
132,11863,2.0341,285,5.5,50000000,9851610,95
135,9101,2.9773,510,6.386,0,37553585,92
137,5757,0.3315,7,2.786,0,209935,86
140,9302,1.305,235,6.277,60000000,100688562,119
141,11000,4.43,1320,7.049,31000000,185300000,119
144,16388,0.7256,99,6.025,25000,19326506,98
145,9737,7.7224,6824,6.828,19000000,141407024,119
146,30765,0.7342,93,5.6,0,7506759,84
147,10474,4.3195,2148,7.401,2000000,2381087,102
148,22279,0.8562,68,6.541,4000000,851545,113
149,30157,2.4956,103,6.1,0,0,105
150,568,6.3196,5768,7.452,52000000,355237933,140
151,11780,1.8589,697,6.702,28000000,31600000,139
152,34996,1.2765,304,6.5,0,302393,82
153,414,4.6559,5495,5.454,100000000,336529144,121
154,649,2.8011,1000,7.308,0,0,100
155,1873,1.0201,83,6.6,23000000,14700000,100
156,5894,0.9678,179,6.503,2000000,1300000,83
157,1775,0.6985,242,5.74,11000000,178104,91
158,8839,5.6107,4861,6.3,50000000,287928194,100
159,20649,1.6299,345,6.709,25000000,13100000,128
160,10329,2.6124,961,5.593,50000000,152022101,109
161,8963,3.9701,1943,7.178,53000000,157387195,116
162,26564,2.4187,274,7.495,0,3041083,120
163,8068,5.4888,3076,6.9,7000000,25405445,104
164,8512,1.5254,444,6.45,27000000,16140822,102
165,1572,7.9635,6546,7.276,90000000,366101666,128
166,13552,1.7552,302,6.5,800000,284785,83
168,6520,2.395,1314,6.102,55000000,127600435,134
169,9073,1.7957,615,5.915,31000000,30077111,95
170,10428,4.6398,1432,6.38,20000000,7563728,105
171,17447,1.2774,68,6.213,0,3487767,92
172,9886,2.5075,1482,5.766,25000000,19075720,97
173,9482,4.3611,2670,5.843,90000000,113493481,96
174,19326,0.9632,127,4.35,0,17014653,88
175,9344,4.1047,1246,6.895,1500000,20412216,91
176,9071,0.79,312,7.175,500000,1148752,90
177,8973,1.5525,368,5.958,0,13294594,109
178,15730,0.4691,45,5.7,0,0,100
179,47608,1.2772,122,5.1,0,15453274,95
180,2293,2.3997,1347,6.759,6000000,2122561,95
181,9070,2.2157,753,5.86,15000000,66433194,96
183,48787,1.2848,154,6.409,0,0,95
184,34574,2.1662,56,5.5,0,0,93
185,1642,3.1643,1481,6.037,22000000,110627965,114
186,11472,2.0244,693,5.71,35000000,138500000,103
187,36196,2.5006,90,6.394,150000,472370,94
188,11980,2.0564,549,6.504,8000000,16115878,98
189,58372,0.6051,8,6.6,0,0,91
190,32646,1.0778,332,6.974,1000000,512558,119
191,10533,1.5992,510,6.12,50000000,10382407,135
193,10802,7.059,1352,5.583,45000000,20367472,131
194,10149,1.0849,518,7.202,7000000,8349430,112
195,18402,1.7799,250,5.6,30000000,77300000,106
196,9348,4.7355,1801,5.973,35000000,113400000,108
198,281,2.6164,1495,7.01,42000000,7959291,145
199,5967,2.6791,862,7.4,200000,7600000,92
201,47939,1.0806,83,6.2,10000000,7027000,115
202,36834,3.0592,548,6.4,0,339889,111
203,9090,2.2862,747,7.358,0,47774193,108
204,3512,3.0221,993,5.8,60000000,104324083,99
205,52856,0.7803,31,6.032,0,0,93
206,77350,2.4406,18,5.2,0,0,73
207,9560,2.6367,1103,7.359,20000000,50012507,103
208,9804,6.1511,3982,6.217,175000000,264218220,135
209,31611,1.0451,85,5.1,7000000,9000000,89
210,65796,0.9999,167,5.74,30000000,2193982,98
211,49805,0.9846,57,6.4,0,487391,97
212,26258,1.3301,128,5.355,0,7919823,90
213,50797,0.6502,197,6.937,2800000,2616503,135
214,19155,1.1887,182,7.36,0,763847,113
215,76,5.7078,4571,7.972,2500000,5987386,101
216,11017,2.2904,1766,6.192,10000000,26488734,90
217,37141,1.7119,179,5.179,0,0,90
218,9382,1.45,250,6.39,21000000,23450000,115
219,6715,1.4392,347,7.935,0,2568235,97
220,18256,1.9174,235,6.098,0,0,90
222,22625,1.3515,95,6.247,15000000,45000000,103
223,2292,3.9139,2699,7.381,27575,3151130,92
224,1909,2.1242,789,6.729,25000000,68792531,97
225,8984,4.7197,1247,6.25,55000000,214015089,128
227,4954,1.4364,444,5.699,45000000,62000000,101
228,62488,0.7573,47,4.936,0,1200000,103
229,10531,1.278,547,7.065,12000000,8003716,103
230,11929,3.0082,855,7.266,13000000,46400000,132
231,8467,10.4335,6577,6.646,16000000,247275374,107
232,10451,2.2316,390,7.624,0,24194403,123
233,20156,1.726,381,6.6,2000000,4221036,103
234,18395,1.1842,95,4.1,27500000,6800000,114
235,522,2.8137,2473,7.485,18000000,5900000,127
236,397,2.0692,782,6.46,0,101982854,111
237,10525,1.4255,159,6.3,0,33177694,101
238,27985,1.1879,95,6.179,0,0,81
239,15789,3.7858,1880,7.019,18000000,35348597,78
240,27303,1.4123,169,5.225,15000000,12201255,103
241,21183,1.6363,276,7.087,15000000,4000000,96
242,10954,0.8579,187,6.556,0,0,111
243,47867,0.7111,32,5.3,0,3992809,90
246,14275,1.1686,326,7.577,700000,7830611,174
247,1024,1.5233,1015,7.0,5000000,3049135,109
248,17207,3.1623,76,5.441,10500000,26300000,109
249,13701,2.1483,363,7.1,120,0,121
250,14819,1.9348,408,6.148,10000000,17700000,97
251,32631,1.4439,121,5.678,15000000,6600000,110
252,11777,2.8718,481,6.016,25000000,26381221,100
253,628,6.9887,6314,7.385,60000000,223664608,123
254,87729,1.2295,45,5.0,14000000,2474000,139
255,18713,0.6887,34,4.324,0,0,82
256,6280,2.3371,1605,5.183,60000000,108400000,110
257,9061,1.7629,608,6.266,0,36853222,102
258,37108,1.0488,190,5.0,0,0,89
259,6071,1.3957,351,5.687,40000000,14942422,101
260,11,18.5067,21983,8.201,11000000,775398007,121
261,9587,3.5798,1324,7.277,18000000,94983123,115
262,19101,2.4108,1023,7.614,17000000,10000000,97
263,49980,0.7143,102,7.201,0,0,101
265,18183,3.4103,546,7.3,2000000,21744201,105
266,4476,5.6817,2795,7.382,30000000,160638883,133
267,11008,2.6981,871,6.45,0,30112050,95
269,32325,0.753,35,6.6,0,3267313,92
270,43742,1.9487,60,5.4,60000000,18300000,108
271,28313,1.0191,103,6.5,17000000,7603766,106
272,11318,1.1351,254,6.8,0,15238994,107
273,3036,2.3716,1341,6.444,45000000,112000000,123
274,40490,0.8291,186,5.395,0,0,96
275,24070,3.4535,217,5.362,15000000,0,97
276,8986,1.9256,301,6.379,0,18137661,108
277,10510,2.9269,1132,6.753,0,46264384,114
278,17402,0.8129,59,5.229,0,5,95
279,38722,3.0496,82,7.451,5500000,11079373,128
280,8438,1.9749,598,7.15,20000000,29500000,122
281,11593,1.9384,333,6.883,20000000,39491975,110
282,1945,3.8151,541,6.55,31000000,106683817,112
283,39310,0.915,45,6.244,5000000,0,98
284,109560,0.3334,9,2.813,0,0,88
285,56428,0.3865,9,4.6,4800000,0,89
287,131957,0.3649,14,5.4,0,0,100
288,241,3.9444,3710,7.052,34000000,50283563,119
289,9058,2.5252,555,6.732,0,20059210,115
290,527,1.4385,473,7.36,950000,6700000,99
291,18220,1.2753,139,4.615,0,0,106
292,6950,4.3298,2432,6.557,50000000,189900000,129
293,101,14.997,15821,8.294,16000000,45284974,111
294,63020,0.8548,40,6.0,11000000,2832826,113
295,2307,0.3834,15,5.1,0,345972,94
296,680,21.7326,29758,8.486,8000000,213928762,154
298,25296,1.0171,83,7.349,400000,152322,105
299,40156,4.7853,145,6.259,0,4176932,98
300,11450,3.7224,966,7.255,31000000,24822619,133
301,30304,0.5521,24,6.4,0,0,94
302,10452,1.991,412,7.193,0,1318578,138
303,12106,4.3137,1908,6.537,35000000,47000000,107
304,161495,4.2313,29,5.7,22000000,12400000,108
305,3586,1.3427,224,5.184,15000000,11300653,133
306,110,3.2166,1522,7.907,0,4127033,100
307,108,3.0908,1852,7.641,0,1527572,98
308,109,2.7962,1300,7.447,0,1273525,92
310,36357,0.6479,75,5.58,0,0,85
311,92769,0.723,7,4.6,0,0,90
312,28033,0.4138,25,5.2,6300000,912082,95
313,22586,2.6075,990,6.587,20000000,9771658,89
314,14334,1.0723,95,6.689,5700000,6160000,103
315,2636,3.4069,1408,5.933,45000000,170362582,110
316,2164,5.4981,3707,7.012,55000000,196567262,121
317,11395,3.4837,2261,6.512,22000000,189833357,97
318,278,32.8997,29823,8.715,25000000,28341469,142
319,9905,1.7198,1110,7.003,2500000,19779614,93
320,87078,0.4582,39,6.4,0,102780,96
321,12527,0.5314,82,7.0,0,2087569,108
322,20306,0.7507,330,6.6,700000,382928,93
324,36614,0.5449,72,6.7,0,0,100
325,27993,1.0345,101,5.455,0,0,91
326,31439,2.0916,364,8.058,0,0,133
327,9067,2.4958,560,5.5,25000000,4064495,104
328,9059,2.0407,540,6.879,13000000,21089146,93
329,193,2.0599,1448,6.512,38000000,118071125,118
330,25066,0.9818,182,6.272,6000000,12000000,98
331,46797,0.8358,33,6.1,0,0,115
332,12122,2.003,894,6.1,22000000,9418365,99
333,11381,3.2215,1033,6.798,20000000,32648673,98
334,32636,0.6197,92,6.582,0,1746050,120
335,36141,1.2822,86,5.7,6500000,0,99
336,95963,0.5546,29,5.793,0,6014541,88
337,1587,5.2099,4201,7.662,11000000,10000000,118
338,9271,2.4307,590,5.505,30000000,24048000,106
339,2064,3.4423,1968,7.02,17000000,182100000,103
340,19855,1.4269,218,6.635,0,16,126
341,60855,0.3131,18,6.25,0,759393,87
342,236,2.527,483,6.83,3000000,15119639,106
343,48287,1.0921,97,5.4,0,0,94
344,3049,4.9678,6242,6.573,15000000,107217396,86
345,2759,4.1836,893,7.259,2000000,29700000,103
346,12635,2.474,107,6.1,0,0,100
347,10497,2.6618,828,7.101,5000000,1862805,139
348,11382,1.5466,657,7.085,20000000,37483747,98
349,9331,5.4199,1648,6.641,62000000,215887717,141
350,10731,3.8946,1331,6.7,45000000,117615211,119
351,10464,1.8951,446,6.7,12500000,20100000,115
352,34152,1.2495,154,6.8,14000000,0,114
353,9495,6.1168,4431,7.5,23000000,93722164,102
354,29973,0.6262,95,5.9,25500000,1007583,128
355,888,4.6714,2582,5.364,46000000,341631208,91
356,13,20.7911,29306,8.462,55000000,677387716,142
357,712,5.1162,2939,6.772,4400000,245700832,117
358,16295,1.7003,233,6.3,20000000,38300000,128
359,48992,0.6813,20,6.2,0,1777020,104
360,10879,2.8568,224,5.482,45000000,61947267,123
361,10660,3.2824,896,6.711,20000000,37939757,101
362,10714,2.1964,490,5.968,27000000,53508356,111
363,41647,0.4086,32,7.1,0,449707,188
364,8587,19.4992,19421,8.3,45000000,763455561,89
365,1689,2.2942,437,6.266,35000000,4900000,123
366,11596,2.1553,1545,6.462,8000000,19721741,112
367,854,13.1537,11045,6.975,23000000,351583407,101
368,9359,2.7288,1724,6.891,75000000,183031272,127
369,23333,0.8049,56,5.8,0,0,125
370,36593,4.2006,2441,6.497,30000000,132032598,83
371,12280,1.555,228,6.6,6000000,48400000,112
372,2788,1.8005,780,6.553,11500000,33351557,98
373,10427,1.1051,384,6.741,8000000,2500000,98
374,11011,3.2663,2385,5.942,40000000,38087756,94
376,8987,2.3391,940,6.449,45000000,94216343,111
377,1637,6.857,6709,7.147,30000000,350448145,116
378,15128,3.8923,104,5.918,38000000,25067959,99
379,8831,2.2127,1277,6.004,28000000,128953581,98
380,36955,6.0053,4466,7.085,115000000,378900000,141
381,10449,1.7403,375,6.592,0,50021959,126
382,10395,2.191,988,6.128,70000000,131002597,125
383,12160,3.4768,911,6.771,63000000,25052000,191
384,40480,1.1059,69,4.9,0,0,108
385,52038,0.4098,19,6.0,0,934550,99
386,29444,0.5822,111,5.95,0,0,96
387,26352,1.1374,117,5.598,10000000,29392418,100
388,39953,1.4374,13,4.615,0,0,91
389,41580,0.475,72,6.5,0,0,110
390,315,1.0281,355,6.355,45000,36122,83
391,22067,0.8388,55,6.7,7000000,20851521,119
393,11667,3.1187,1594,4.654,35000000,99423521,102
405,8011,2.2481,535,4.8,30000000,36738574,99
406,171857,0.1952,10,4.4,0,0,97
407,2654,2.3707,1850,7.21,8000000,8946600,95
408,18069,7.4406,107,7.2,7000000,19623396,105
409,19092,1.4268,216,6.986,0,0,96
410,2758,5.556,3262,6.968,47000000,48919043,94
412,10436,2.7385,1194,6.964,34000000,32255440,138
413,13595,2.4768,798,6.159,15000000,5751882,92
414,46094,1.1278,162,6.171,17000000,21011500,107
415,9409,1.4159,242,5.444,30000000,30008496,109
416,11853,2.9567,260,5.4,0,15240435,99
417,16771,1.0508,87,6.23,3200000,0,100
418,46924,1.247,61,5.1,40000000,5000000,122
419,11041,2.3944,577,6.3,25000000,57405220,93
420,306,3.0272,2074,5.873,50000000,119208989,105
421,14522,1.8588,344,6.715,0,0,88
422,26203,1.5549,192,6.13,11000000,16668552,106
423,178,2.2502,600,6.2,28000000,30156002,121
424,19819,1.1675,202,6.1,35000000,26000000,108
425,57834,1.1067,149,6.067,0,0,101
426,4722,3.8844,458,6.155,13000000,428868,87
427,18215,2.4054,242,4.998,0,1800000,107
428,1607,6.6259,2768,7.87,22000000,17287898,121
429,26391,0.7373,110,5.182,0,3662459,80
430,117553,2.2103,66,5.1,13000000,2600000,90
431,6075,4.8395,3391,7.827,30000000,63848322,144
432,11310,1.1728,334,5.29,40000000,72000000,116
433,18658,1.1657,72,5.8,0,7355425,107
434,9350,4.083,2578,6.517,70000000,255000211,113
435,9612,3.0399,1005,5.466,33000000,21274717,87
436,2124,3.2688,616,5.7,40000000,19700000,121
437,26261,0.7265,127,5.102,20000000,11391093,93
438,19176,1.0473,165,5.673,35000000,25000000,107
440,11566,29.4949,816,6.646,28000000,92000000,110
441,9571,3.9834,2211,7.316,6900000,8259076,102
442,9739,5.6688,4010,6.753,57000000,159055768,115
444,34444,1.1368,135,4.381,8000000,0,96
445,26141,1.7531,160,5.4,0,0,90
446,10997,3.612,661,7.915,4000000,6400000,171
448,10443,1.266,331,6.885,20000000,6995302,122
449,20239,0.3799,49,5.898,1000000,233824,88
450,16297,1.5113,225,6.737,0,20016254,103
451,18551,1.3456,99,6.0,0,9709451,126
452,25440,3.5046,19,6.3,0,0,101
453,9024,2.5626,387,6.187,30000000,11146270,94
454,37233,5.7325,2246,6.735,42000000,270248367,154
455,1634,3.3434,1925,6.179,20000000,153698625,112
456,13815,3.3973,227,7.2,3500000,8094616,114
457,5503,5.9148,4678,7.47,44000000,353808222,131
458,35588,2.0845,284,6.295,35000000,18635620,115
459,2087,2.7918,380,5.776,0,30057974,115
460,41579,0.9957,215,5.305,30000000,53769594,109
461,18620,0.7043,38,5.0,15000,2405285,83
464,2019,4.487,1308,6.483,18000000,74189677,97
466,9255,3.6652,2011,6.542,25000000,133752825,88
467,26271,2.263,38,4.5,0,0,95
468,10612,1.5567,314,6.317,0,0,91
469,2259,2.2901,724,6.946,25000000,6265311,140
470,16097,1.1471,56,5.1,0,0,94
471,11934,2.7429,1158,7.067,25000000,2800000,111
472,106143,0.8356,55,5.5,40000000,0,115
473,12475,0.9512,222,5.1,0,28881266,91
474,9386,4.5171,1761,6.965,40000000,177000000,128
475,7984,2.5856,1913,7.889,13000000,65796862,133
476,59930,0.5091,17,5.265,0,8880705,110
477,15765,1.5508,353,7.045,15000000,39100000,118
478,31643,1.1173,69,5.1,30000000,3800000,112
479,6,1.4643,366,6.5,21000000,12136938,109
480,329,8.2412,17566,7.965,63000000,920100000,127
481,10909,2.5856,849,6.579,9000000,2395231,118
482,507,1.5728,362,6.203,1500000,418961,96
484,29918,4.2199,213,6.117,0,9994609,94
485,9593,3.6594,2932,6.469,85000000,137300000,131
486,42580,0.9288,152,5.7,2000000,12440858,91
487,22317,2.4703,137,5.555,0,0,98
488,1413,3.1299,236,6.578,17000000,1499795,101
489,12121,1.3404,385,5.509,22000000,104942695,111
490,2246,2.5354,502,6.258,20000000,46405336,107
491,10502,1.7094,547,6.6,20000000,36560338,115
492,10440,1.2887,1159,7.251,13500000,11285588,104
493,9516,3.3903,866,7.489,3500000,27900000,97
494,2320,2.7233,1009,6.336,55000000,121969216,132
495,5879,10.642,709,6.581,0,7650000,105
496,83718,1.0161,44,7.1,0,0,91
497,11971,2.3653,792,6.938,11000000,22600000,111
499,31911,1.4915,48,5.5,0,3125424,98
500,788,7.3762,6510,7.194,25000000,441286195,125
501,21450,3.5631,647,7.3,0,1769305,131
502,11231,2.846,1133,5.4,12000000,15876353,107
504,10447,1.7533,469,6.246,20000000,15340000,118
505,31586,4.4537,275,5.018,40000000,7182747,87
506,9300,1.5738,370,6.9,4000000,5377643,94
507,9559,3.0657,1799,7.488,30000000,135100000,138
508,9800,4.7915,4545,7.714,26000000,206678440,126
509,713,5.0585,1618,7.378,7000000,40200000,120
510,8291,2.06,270,6.785,14000000,27515786,109
511,18133,1.0363,103,6.403,0,23042200,112
512,25557,1.3779,196,5.747,15000000,8600000,109
513,22588,1.4848,55,5.9,0,0,108
514,10872,1.6493,368,6.543,11000000,11400000,97
515,1245,3.089,1461,7.361,11500000,23240144,134
516,11858,1.5355,311,6.109,40000000,24332324,128
517,7007,2.5313,818,6.139,40000000,107198790,125
518,10467,1.4594,188,5.561,25000000,26000000,118
519,5550,2.8995,1410,4.898,22000000,10696210,105
520,8005,3.4653,2224,6.585,20000000,35739755,104
521,2088,1.5921,204,6.255,11500000,3275585,100
522,10412,2.0447,548,6.547,1600000,3300000,94
523,47889,0.6902,36,5.9,800000,1001437,114
524,14534,4.2295,729,7.3,12000000,22800000,114
526,41878,0.3909,79,6.4,0,0,126
527,424,14.7986,17153,8.566,22000000,321365567,195
528,35233,0.7508,117,5.2,20000000,2694234,101
529,14291,1.3909,627,7.066,12000000,7266383,110
531,11236,2.3157,961,7.427,18000000,40000000,101
532,11592,1.6476,754,6.733,13000000,7820688,94
533,8850,2.127,555,6.073,25000000,48063465,108
534,10445,1.2768,302,6.896,22000000,25842000,131
535,695,1.1554,660,7.2,12000000,6110979,188
536,43535,1.181,118,6.1,0,3430583,106
537,12519,3.0125,164,5.598,0,7770731,98
538,23210,7.6961,354,6.4,15000000,6284090,112
539,858,5.0663,2537,6.736,21000000,227799884,105
540,867,7.0289,781,5.551,40000000,116300000,107
541,78,11.6395,14723,7.94,28000000,41722424,118
542,13203,1.9747,298,6.0,0,36448200,95
543,10442,2.9734,464,6.099,20000000,11585483,93
544,11074,2.1121,875,5.85,0,0,102
546,9607,3.0585,1408,4.5,48000000,20915465,105
547,17585,1.0993,212,6.111,7400000,7690013,96
548,9057,0.9812,283,5.346,50000000,16478900,102
549,20967,0.5374,47,7.0,0,0,93
550,10635,1.7638,238,6.37,0,14815317,93
551,9479,10.6201,10198,7.832,18000000,75634409,76
552,10057,2.8612,1028,6.392,30000000,111898845,105
553,11969,6.9232,2386,7.578,25000000,73205065,130
555,319,4.7525,2988,7.535,12500000,12600000,121
556,26408,0.5619,68,6.801,0,901668,96
558,15139,2.6931,772,6.4,27000000,13670688,75
562,11446,1.5052,491,7.1,800000,5034794,87
563,51980,1.0659,338,6.7,0,0,160
564,24405,1.7895,167,5.413,15000000,1596687,102
567,8223,3.0285,312,6.381,0,2019069,117
568,14587,0.4396,28,5.2,0,0,100
569,31504,1.3005,111,5.905,0,0,119
573,23637,0.485,398,7.173,0,0,93
574,17600,2.335,79,5.639,200000,0,106
575,10897,4.6605,1298,6.799,0,67308282,82
577,21352,0.9532,121,5.355,0,0,94
579,68806,0.2835,45,6.467,0,0,96
580,37345,3.4083,27,5.4,0,3021629,97
581,32562,0.9597,109,7.1,0,1400591,102
583,25403,0.7216,503,7.33,0,173696,101
585,9066,1.2286,306,6.1,12000000,46576136,89
586,771,0.8064,12317,7.46,18000000,476684675,103
587,251,9.08,5916,7.229,22000000,505000000,127
588,812,11.5066,11866,7.654,28000000,504050219,91
589,280,14.2003,13982,8.139,102000000,517778573,137
590,581,6.3202,4590,7.831,22000000,424208848,181
592,268,6.9087,8417,7.231,35000000,411348924,126
593,274,4.1678,17623,8.346,19000000,272742922,119
594,408,9.9908,7891,7.123,1488423,184925486,83
595,10020,12.5747,10527,7.725,25000000,424967620,84
596,10895,7.0335,6173,7.1,2600000,164000000,88
597,114,10.3458,8850,7.454,14000000,463406268,120
599,576,3.9192,1296,7.589,6244087,638641,145
600,15477,1.2807,70,5.7,0,0,101
602,124472,0.1814,9,6.2,0,527034,60
605,7300,1.9534,710,6.452,0,97529550,108
606,10824,0.9139,409,5.45,0,13940383,95
608,275,9.4923,8905,7.848,7000000,60611975,98
609,25059,1.9457,527,6.617,0,32709423,89
610,11827,2.4983,764,6.5,9300000,20118654,90
611,8766,1.9111,598,5.285,4000000,16675000,86
612,23570,1.0325,128,4.924,8000000,5656388,97
613,47333,1.2528,240,6.896,0,5200601,116
615,51242,0.4895,97,7.191,0,0,115
616,10112,6.1011,5303,7.3,4000000,191000000,78
617,4307,0.7951,252,6.778,4500000,19000000,106
618,46029,0.7105,163,5.4,24000000,1141556,118
619,32308,1.1545,134,4.1,24000000,4400000,94
626,28121,0.8602,90,5.6,8000000,34746109,108
627,12520,1.1369,296,6.515,0,442965,92
628,1592,5.973,3790,7.656,30000000,102616183,130
631,19042,1.6925,280,6.0,0,8620678,82
632,38884,1.2449,292,7.305,0,0,109
633,47449,0.4794,23,6.0,0,0,80
634,36259,1.0688,118,3.636,33500000,0,92
635,41852,0.9877,72,6.438,0,10125417,109
636,40926,0.6782,15,3.9,0,0,88
637,9099,0.9563,380,5.886,39000000,37956793,90
638,2021,3.2262,56,6.705,0,218626,110
639,61752,3.3017,119,5.0,12000000,4939939,108
640,10988,1.1947,311,5.5,45000000,52400000,107
645,12652,0.614,139,6.942,0,0,106
647,10684,1.9961,1019,6.534,46000000,100900000,116
648,954,10.2777,9815,7.019,80000000,457696391,111
649,68445,0.5772,25,6.3,0,0,85
650,18989,2.5225,82,6.07,0,3486578,123
653,8840,3.9461,2108,6.5,57000000,115267375,103
656,11107,3.2428,172,5.465,30000000,31387164,100
661,10539,2.6162,1410,6.585,38000000,28946127,79
662,10543,6.4113,977,6.553,0,0,97
663,18414,1.3774,83,6.193,0,0,88
665,11902,1.3455,758,7.73,14000000,0,170
667,25087,1.1181,141,5.426,0,684351,90
668,5801,2.2001,475,7.8,0,536364,125
